shortname;nome_backup;nome_categoria;nome_imagem
EEEFMSATURNINORANGELMAURO_1ªN01-EJA-EM_1ª ETAPA_PIPAT_INEP32033940_7351_2024/1;EJA_EM_2024_1_1aETAPA_PIPAT;INEP32033940 / EJA - ENSINO MÉDIO / 2024/1;EJA_EM_PIPAT
EEEFMPROFJOAQUIMBARBOSAQUITIBA_3ªN01-EJA-EM_3ª ETAPA_PIPAT_INEP32035080_7347_2024/1;EJA_EM_2024_1_3aETAPA_PIPAT;INEP32035080 / EJA - ENSINO MÉDIO / 2024/1;EJA_EM_PIPAT
EEEFMPROFJOAQUIMBARBOSAQUITIBA_2ªN01-EJA-EM_2ª ETAPA_PIPAT_INEP32035080_7346_2024/1;EJA_EM_2024_1_2aETAPA_PIPAT;INEP32035080 / EJA - ENSINO MÉDIO / 2024/1;EJA_EM_PIPAT
EEEFMMARIANOFIRMEDESOUZA_8ªN01-EJA-EF_8ª ETAPA_PIPAT_INEP32034741_1863_2024/1;EJA_EF_2024_1_8aETAPA_PIPAT;INEP32034741 / EJA - ENSINO FUNDAMENTAL / 2024/1;EJA_EF_PIPAT
EEEFMMARIANOFIRMEDESOUZA_3ªN01-EJA-EM_3ª ETAPA_PIPAT_INEP32034741_4570_2024/1;EJA_EM_2024_1_3aETAPA_PIPAT;INEP32034741 / EJA - ENSINO MÉDIO / 2024/1;EJA_EM_PIPAT
EEEFMMARIANOFIRMEDESOUZA_2ªN01-EJA-EM_2ª ETAPA_PIPAT_INEP32034741_3586_2024/1;EJA_EM_2024_1_2aETAPA_PIPAT;INEP32034741 / EJA - ENSINO MÉDIO / 2024/1;EJA_EM_PIPAT
EEEFMMARIANOFIRMEDESOUZA_1ªN01-EJA-EM_1ª ETAPA_PIPAT_INEP32034741_2465_2024/1;EJA_EM_2024_1_1aETAPA_PIPAT;INEP32034741 / EJA - ENSINO MÉDIO / 2024/1;EJA_EM_PIPAT
EEEFMMARIADELOURDESPOYARESLABUTO_3ªN01-EJA-EM_3ª ETAPA_PIPAT_INEP32033796_1853_2024/1;EJA_EM_2024_1_3aETAPA_PIPAT;INEP32033796 / EJA - ENSINO MÉDIO / 2024/1;EJA_EM_PIPAT
EEEFMMARIADELOURDESPOYARESLABUTO_2ªN01-EJA-EM_2ª ETAPA_PIPAT_INEP32033796_1232_2024/1;EJA_EM_2024_1_2aETAPA_PIPAT;INEP32033796 / EJA - ENSINO MÉDIO / 2024/1;EJA_EM_PIPAT
EEEFMMARIADELOURDESPOYARESLABUTO_1ªN01-EJA-EM_1ª ETAPA_PIPAT_INEP32033796_600_2024/1;EJA_EM_2024_1_1aETAPA_PIPAT;INEP32033796 / EJA - ENSINO MÉDIO / 2024/1;EJA_EM_PIPAT
EEEFMJOSEVITORFILHO_3ªN01-EJA-EM_3ª ETAPA_PIPAT_INEP32034644_1821_2024/1;EJA_EM_2024_1_3aETAPA_PIPAT;INEP32034644 / EJA - ENSINO MÉDIO / 2024/1;EJA_EM_PIPAT
EEEFMJOSEVITORFILHO_2ªN01-EJA-EM_2ª ETAPA_PIPAT_INEP32034644_1203_2024/1;EJA_EM_2024_1_2aETAPA_PIPAT;INEP32034644 / EJA - ENSINO MÉDIO / 2024/1;EJA_EM_PIPAT
EEEFMJOSEVITORFILHO_1ªN01-EJA-EM_1ª ETAPA_PIPAT_INEP32034644_573_2024/1;EJA_EM_2024_1_1aETAPA_PIPAT;INEP32034644 / EJA - ENSINO MÉDIO / 2024/1;EJA_EM_PIPAT
EEEFMJOSERODRIGUESCOUTINHO_3ªN01-EJA-EM-ALG_3ª ETAPA_PIPAT_INEP32033826_1816_2024/1;EJA_EM_2024_1_3aETAPA_PIPAT;INEP32033826 / EJA - ENSINO MÉDIO / 2024/1;EJA_EM_PIPAT
