shortname;nome_backup;nome_categoria;nome_imagem
EEEFMBERNARDOHORTA_1ªN01-EJA-EM_1ª ETAPA_PIPAT_INEP32048459_5608_2024/1;EJA_EM_2024_1_1aETAPA_PIPAT;INEP32048459 / EJA - ENSINO MÉDIO / 2024/1;EJA_EM_PIPAT
EEEFMPROFMARIATRINDADEOLIVEIRA_8ªN01-EJA-EF_8ª ETAPA_PIPAT_INEP32047720_5748_2024/1;EJA_EF_2024_1_8aETAPA_PIPAT;INEP32047720 / EJA - ENSINO FUNDAMENTAL / 2024/1;EJA_EF_PIPAT
EEEFMPROFMARIATRINDADEOLIVEIRA_3ªN01-EJA-EM_3ª ETAPA_PIPAT_INEP32047720_6692_2024/1;EJA_EM_2024_1_3aETAPA_PIPAT;INEP32047720 / EJA - ENSINO MÉDIO / 2024/1;EJA_EM_PIPAT
EEEFMPROFMARIATRINDADEOLIVEIRA_2ªN01-EJA-EM_2ª ETAPA_PIPAT_INEP32047720_6225_2024/1;EJA_EM_2024_1_2aETAPA_PIPAT;INEP32047720 / EJA - ENSINO MÉDIO / 2024/1;EJA_EM_PIPAT
EEEFMPROFMARIATRINDADEOLIVEIRA_1ªN01-EJA-EM_1ª ETAPA_PIPAT_INEP32047720_6013_2024/1;EJA_EM_2024_1_1aETAPA_PIPAT;INEP32047720 / EJA - ENSINO MÉDIO / 2024/1;EJA_EM_PIPAT
CEEFMTIMONSENHORMIGUELDESANCTIS_8ªN01-EJA-EF_8ª ETAPA_PIPAT_INEP32047002_2140_2024/1;EJA_EF_2024_1_8aETAPA_PIPAT;INEP32047002 / EJA - ENSINO FUNDAMENTAL / 2024/1;EJA_EF_PIPAT
CEEFMTIMONSENHORMIGUELDESANCTIS_3ªN01-EJA-EM_3ª ETAPA_PIPAT_INEP32047002_2741_2024/1;EJA_EM_2024_1_3aETAPA_PIPAT;INEP32047002 / EJA - ENSINO MÉDIO / 2024/1;EJA_EM_PIPAT
CEEFMTIMONSENHORMIGUELDESANCTIS_2ªN01-EJA-EM_2ª ETAPA_PIPAT_INEP32047002_3303_2024/1;EJA_EM_2024_1_2aETAPA_PIPAT;INEP32047002 / EJA - ENSINO MÉDIO / 2024/1;EJA_EM_PIPAT
CEEFMTIMONSENHORMIGUELDESANCTIS_1ªN01-EJA-EM_1ª ETAPA_PIPAT_INEP32047002_2159_2024/1;EJA_EM_2024_1_1aETAPA_PIPAT;INEP32047002 / EJA - ENSINO MÉDIO / 2024/1;EJA_EM_PIPAT
EEEFMPEDRODEALCANTARAGALVEAS_4ªN01-EJA-EM-AAD_4ª ETAPA_PIPAT_INEP32046634_1917_2024/1;erro_restauracao;erro_restauracao;
EEEFMPEDRODEALCANTARAGALVEAS_3ªN01-EJA-EM-AAD_3ª ETAPA_PIPAT_INEP32046634_5402_2024/1;EJA_EM_2024_1_3aETAPA_PIPAT;erro_categorização;EJA_EM_PIPAT
EEEFMPEDRODEALCANTARAGALVEAS_2ªN01-EJA-EM-AAD_2ª ETAPA_PIPAT_INEP32046634_6532_2024/1;EJA_EM_2024_1_2aETAPA_PIPAT;erro_categorização;EJA_EM_PIPAT
EEEFMHORACIOPLINIO_4ªN1EPOUT_4ª ETAPA_PIPAT_INEP32051840_4935_2024/1;erro_restauracao;erro_restauracao;
EEEFMHORACIOPLINIO_3ªN1EPOUT_3ª ETAPA_PIPAT_INEP32051840_4036_2024/1;erro_restauracao;erro_restauracao;
EEEFMHORACIOPLINIO_2ªN1EPOUT_2ª ETAPA_PIPAT_INEP32051840_3509_2024/1;erro_restauracao;erro_restauracao;
EEEFMHORACIOPLINIO_1ªN1EPOUT_1ª ETAPA_PIPAT_INEP32051840_2954_2024/1;erro_restauracao;erro_restauracao;
EEEFMCANDIDAPOVOA_4ªN01-EJA-EP-CID_4ª ETAPA_PIPAT_INEP32050984_2860_2024/1;EJA_EP_2024_1_4aETAPA_PIPAT;erro_categorização;EJA_EP_PIPAT
EEEFMCANDIDAPOVOA_3ªN01-EJA-EP-CID_3ª ETAPA_PIPAT_INEP32050984_2294_2024/1;EJA_EP_2024_1_3aETAPA_PIPAT;erro_categorização;EJA_EP_PIPAT
EEEFMSIRENAREZENDEFONSECA_4ªN01-EJA-EP-AAD_4ª ETAPA_PIPAT_INEP32046103_3748_2024/1;EJA_EP_2024_1_4aETAPA_PIPAT;erro_categorização;EJA_EP_PIPAT
CEEFMTIARISTEUAGUIAR_3ªN01-EJA-EM_3ª ETAPA_PIPAT_INEP32045379_3832_2024/1;EJA_EM_2024_1_3aETAPA_PIPAT;INEP32045379 / EJA - ENSINO MÉDIO / 2024/1;EJA_EM_PIPAT
EEEFMARARIBOIA_3ªN01-EJA-EM_3ª ETAPA_PIPAT_INEP32013272_2268_2024/1;EJA_EM_2024_1_3aETAPA_PIPAT;INEP32013272 / EJA - ENSINO MÉDIO / 2024/1;EJA_EM_PIPAT
EEEFMPROFCAROLINAPICHLER_7ªV01-EJA-EF_7ª ETAPA_PVI2_INEP32010745_2564_2024/1;EJA_EF_2024_1_7aETAPA_PVI2;INEP32010745 / EJA - ENSINO FUNDAMENTAL / 2024/1;EJA_EF_PVI2
EEEFMPROFCAROLINAPICHLER_7ªV01-EJA-EF_7ª ETAPA_PVI1_INEP32010745_2564_2024/1;EJA_EF_2024_1_7aETAPA_PVI1;INEP32010745 / EJA - ENSINO FUNDAMENTAL / 2024/1;EJA_EF_PVI1
EEEFMPROFCAROLINAPICHLER_4ªN01-EJA-EM-AAD_4ª ETAPA_PIPAT_INEP32010745_5063_2024/1;erro_restauracao;erro_restauracao;
EEEFMPROFCAROLINAPICHLER_3ªN01-EJA-EM-AAD_3ª ETAPA_PIPAT_INEP32010745_3680_2024/1;EJA_EM_2024_1_3aETAPA_PIPAT;INEP32010745 / EJA - ENSINO MÉDIO / 2024/1;EJA_EM_PIPAT
EEEFMPROFCAROLINAPICHLER_2ªN01-EJA-EM_2ª ETAPA_PIPAT_INEP32010745_2565_2024/1;EJA_EM_2024_1_2aETAPA_PIPAT;INEP32010745 / EJA - ENSINO MÉDIO / 2024/1;EJA_EM_PIPAT
EEEFMPROFCAROLINAPICHLER_1ªN01-EJA-EM_1ª ETAPA_PIPAT_INEP32010745_3135_2024/1;EJA_EM_2024_1_1aETAPA_PIPAT;INEP32010745 / EJA - ENSINO MÉDIO / 2024/1;EJA_EM_PIPAT
EEEFMGERALDOVARGASNOGUEIRA_1ªN01-EM_PV_INEP32010710_1129_2024;erro_restauracao;erro_restauracao;
EEEFMGERALDOVARGASNOGUEIRA_1ªN01-EM_EO_INEP32010710_1129_2024;erro_restauracao;erro_restauracao;
CEEFMTICONDEDELINHARES_8ªN01-EJA-EF_8ª ETAPA_PIPAT_INEP32010702_1517_2024/1;EJA_EF_2024_1_8aETAPA_PIPAT;INEP32010702 / EJA - ENSINO FUNDAMENTAL / 2024/1;EJA_EF_PIPAT
CEEFMTICONDEDELINHARES_7ªN01-EJA-EF_7ª ETAPA_PIPAT_INEP32010702_901_2024/1;EJA_EF_2024_1_7aETAPA_PIPAT;INEP32010702 / EJA - ENSINO FUNDAMENTAL / 2024/1;EJA_EF_PIPAT
CEEFMTICONDEDELINHARES_3ªN01-EJA-EM_3ª ETAPA_PIPAT_INEP32010702_3838_2024/1;EJA_EM_2024_1_3aETAPA_PIPAT;INEP32010702 / EJA - ENSINO MÉDIO / 2024/1;EJA_EM_PIPAT
CEEFMTICONDEDELINHARES_2ªN01-EJA-EM_2ª ETAPA_PIPAT_INEP32010702_3289_2024/1;EJA_EM_2024_1_2aETAPA_PIPAT;INEP32010702 / EJA - ENSINO MÉDIO / 2024/1;EJA_EM_PIPAT
CEEFMTICONDEDELINHARES_1ªN01-EJA-EM_1ª ETAPA_PIPAT_INEP32010702_2146_2024/1;EJA_EM_2024_1_1aETAPA_PIPAT;INEP32010702 / EJA - ENSINO MÉDIO / 2024/1;EJA_EM_PIPAT
EEEFMDRJONESDOSSANTOSNEVES_8ªN01-EJA-EF_8ª ETAPA_PIPAT_INEP32009402_1084_2024/1;EJA_EF_2024_1_8aETAPA_PIPAT;INEP32009402 / EJA - ENSINO FUNDAMENTAL / 2024/1;EJA_EF_PIPAT
EEEFMDRJONESDOSSANTOSNEVES_3ªN01-EJA-EM_3ª ETAPA_PIPAT_INEP32009402_4895_2024/1;EJA_EM_2024_1_3aETAPA_PIPAT;INEP32009402 / EJA - ENSINO MÉDIO / 2024/1;EJA_EM_PIPAT
