shortname;nome_backup;nome_categoria;nome_imagem
EEEFMSATURNINORANGELMAURO_1ªN01-EJA-EM_1ª ETAPA_PIPAT_INEP32033940_7351_2024/1;EJA_EM_2024_1_1aETAPA_PIPAT;erro_categorização;EJA_EM_PIPAT
EEEFMPROFJOAQUIMBARBOSAQUITIBA_3ªN01-EJA-EM_3ª ETAPA_PIPAT_INEP32035080_7347_2024/1;EJA_EM_2024_1_3aETAPA_PIPAT;erro_categorização;EJA_EM_PIPAT
EEEFMPROFJOAQUIMBARBOSAQUITIBA_2ªN01-EJA-EM_2ª ETAPA_PIPAT_INEP32035080_7346_2024/1;EJA_EM_2024_1_2aETAPA_PIPAT;erro_categorização;EJA_EM_PIPAT
EEEFMZUMBIDOSPALMARES-SERRA_3ªN01-EJA-EM_3ª ETAPA_PIPAT_INEP32066333_6059_2024/1;EJA_EM_2024_1_3aETAPA_PIPAT;erro_categorização;EJA_EM_PIPAT
EEEFMZUMBIDOSPALMARES-SERRA_2ªN01-EJA-EM_2ª ETAPA_PIPAT_INEP32066333_5802_2024/1;EJA_EM_2024_1_2aETAPA_PIPAT;erro_categorização;EJA_EM_PIPAT
EEEFMZUMBIDOSPALMARES-SERRA_1ªN01-EJA-EM_1ª ETAPA_PIPAT_INEP32066333_4728_2024/1;EJA_EM_2024_1_1aETAPA_PIPAT;erro_categorização;EJA_EM_PIPAT
EEEFMPROFESSORJOAOANTUNESDASDORES_2ªN01-EJA-EM-ALG_2ª ETAPA_PIPAT_INEP32035500_5440_2024/1;EJA_EM_2024_1_2aETAPA_PIPAT;erro_categorização;EJA_EM_PIPAT
EEEFMGETULIOPIMENTELLOUREIRO_3ªN01-EJA-EP-AAD_3ª ETAPA_PIPAT_INEP32035403_1135_2024/1;EJA_EP_2024_1_3aETAPA_PIPAT;INEP32035403 / EJA - PROFISSIONALIZANTE EM / 2024/1;EJA_EP_PIPAT
EEEFMGETULIOPIMENTELLOUREIRO_2ªN01-EJA-EP-ALG_2ª ETAPA_PIPAT_INEP32035403_2939_2024/1;EJA_EP_2024_1_2aETAPA_PIPAT;INEP32035403 / EJA - PROFISSIONALIZANTE EM / 2024/1;EJA_EP_PIPAT
EEEFMGETULIOPIMENTELLOUREIRO_1ªN02-EJA-EP-ALG_1ª ETAPA_PIPAT_INEP32035403_3495_2024/1;EJA_EP_2024_1_1aETAPA_PIPAT;;
