shortname;nome_backup;nome_categoria;nome_imagem
EEEFMDJOAOBATISTADAMOTTAEALBUQUERQUE_3ªN01-EJA-EM_3ª ETAPA_PIPAT_INEP32036116_2877_2024/1;EJA_EM_2024_1_3aETAPA_PIPAT;INEP32036116 / EJA - ENSINO MÉDIO / 2024/1;EJA_EM_PIPAT
EEEFMDJOAOBATISTADAMOTTAEALBUQUERQUE_2ªN01-EJA-EM_2ª ETAPA_PIPAT_INEP32036116_1687_2024/1;EJA_EM_2024_1_2aETAPA_PIPAT;INEP32036116 / EJA - ENSINO MÉDIO / 2024/1;EJA_EM_PIPAT
EEEFMDJOAOBATISTADAMOTTAEALBUQUERQUE_1ªN01-EJA-EM_1ª ETAPA_PIPAT_INEP32036116_439_2024/1;EJA_EM_2024_1_1aETAPA_PIPAT;INEP32036116 / EJA - ENSINO MÉDIO / 2024/1;EJA_EM_PIPAT
EEEFMCAMPINHO_3ªN01-EJA-EM_3ª ETAPA_PIPAT_INEP32035390_1670_2024/1;EJA_EM_2024_1_3aETAPA_PIPAT;INEP32035390 / EJA - ENSINO MÉDIO / 2024/1;EJA_EM_PIPAT
EEEFMCAMPINHO_2ªN01-EJA-EM_2ª ETAPA_PIPAT_INEP32035390_2858_2024/1;EJA_EM_2024_1_2aETAPA_PIPAT;INEP32035390 / EJA - ENSINO MÉDIO / 2024/1;EJA_EM_PIPAT
EEEFMCAMPINHO_1ªN01-EJA-EM_1ª ETAPA_PIPAT_INEP32035390_418_2024/1;EJA_EM_2024_1_1aETAPA_PIPAT;INEP32035390 / EJA - ENSINO MÉDIO / 2024/1;EJA_EM_PIPAT
EEEFMARLINDOFERREIRALOPES_3ªN01-EJA-EM_3ª ETAPA_PIPAT_INEP32036086_3396_2024/1;EJA_EM_2024_1_3aETAPA_PIPAT;INEP32036086 / EJA - ENSINO MÉDIO / 2024/1;EJA_EM_PIPAT
EEEFMARLINDOFERREIRALOPES_2ªN01-EJA-EM_2ª ETAPA_PIPAT_INEP32036086_2274_2024/1;EJA_EM_2024_1_2aETAPA_PIPAT;INEP32036086 / EJA - ENSINO MÉDIO / 2024/1;EJA_EM_PIPAT
EEEFMARLINDOFERREIRALOPES_1ªN01-EJA-EM_1ª ETAPA_PIPAT_INEP32036086_401_2024/1;EJA_EM_2024_1_1aETAPA_PIPAT;INEP32036086 / EJA - ENSINO MÉDIO / 2024/1;EJA_EM_PIPAT
EEEFMANTONIOLUIZVALIATI_3ªN01-EJA-EM_3ª ETAPA_PIPAT_INEP32036060_2263_2024/1;EJA_EM_2024_1_3aETAPA_PIPAT;INEP32036060 / EJA - ENSINO MÉDIO / 2024/1;EJA_EM_PIPAT
EEEFMANTONIOLUIZVALIATI_2ªN01-EJA-EM_2ª ETAPA_PIPAT_INEP32036060_3386_2024/1;EJA_EM_2024_1_2aETAPA_PIPAT;INEP32036060 / EJA - ENSINO MÉDIO / 2024/1;EJA_EM_PIPAT
EEEFMANTONIOLUIZVALIATI_1ªN01-EJA-EM_1ª ETAPA_PIPAT_INEP32036060_2834_2024/1;EJA_EM_2024_1_1aETAPA_PIPAT;INEP32036060 / EJA - ENSINO MÉDIO / 2024/1;EJA_EM_PIPAT
EEEFMANTONIOJOSEPEIXOTOMIGUEL_3ªN02-EJA-EM_3ª ETAPA_PIPAT_INEP32074425_156_2024/1;EJA_EM_2024_1_3aETAPA_PIPAT;INEP32074425 / EJA - ENSINO MÉDIO / 2024/1;EJA_EM_PIPAT
EEEFMANTONIOJOSEPEIXOTOMIGUEL_3ªN01-EJA-EM_3ª ETAPA_PIPAT_INEP32074425_138_2024/1;EJA_EM_2024_1_3aETAPA_PIPAT;INEP32074425 / EJA - ENSINO MÉDIO / 2024/1;EJA_EM_PIPAT
EEEFMANTONIOJOSEPEIXOTOMIGUEL_2ªN01-EJA-EM_2ª ETAPA_PIPAT_INEP32074425_64_2024/1;EJA_EM_2024_1_2aETAPA_PIPAT;INEP32074425 / EJA - ENSINO MÉDIO / 2024/1;EJA_EM_PIPAT
EEEFMANTONIOJOSEPEIXOTOMIGUEL_1ªN01-EJA-EM_1ª ETAPA_PIPAT_INEP32074425_29_2024/1;EJA_EM_2024_1_1aETAPA_PIPAT;INEP32074425 / EJA - ENSINO MÉDIO / 2024/1;EJA_EM_PIPAT
EEEFMANTONIOENGRACIODASILVA_3ªN01-EJA-EM_3ª ETAPA_PIPAT_INEP32036051_2260_2024/1;EJA_EM_2024_1_3aETAPA_PIPAT;INEP32036051 / EJA - ENSINO MÉDIO / 2024/1;EJA_EM_PIPAT
EEEFMANTONIOENGRACIODASILVA_2ªN01-EJA-EM_2ª ETAPA_PIPAT_INEP32036051_1636_2024/1;EJA_EM_2024_1_2aETAPA_PIPAT;INEP32036051 / EJA - ENSINO MÉDIO / 2024/1;EJA_EM_PIPAT
EEEFMANTONIOENGRACIODASILVA_1ªN01-EJA-EM_1ª ETAPA_PIPAT_INEP32036051_388_2024/1;EJA_EM_2024_1_1aETAPA_PIPAT;INEP32036051 / EJA - ENSINO MÉDIO / 2024/1;EJA_EM_PIPAT
EEEFVIRGINIOPEREIRA_8ªN01-EJA-EF_8ª ETAPA_PIPAT_INEP32037473_7025_2024/1;EJA_EF_2024_1_8aETAPA_PIPAT;INEP32037473 / EJA - ENSINO FUNDAMENTAL / 2024/1;EJA_EF_PIPAT
EEEFVIRGINIOPEREIRA_7ªN01-EJA-EF_7ª ETAPA_PIPAT_INEP32037473_7015_2024/1;EJA_EF_2024_1_7aETAPA_PIPAT;INEP32037473 / EJA - ENSINO FUNDAMENTAL / 2024/1;EJA_EF_PIPAT
EEEFTAQUARAI_2ªN01-EJA-EP-AAD_2ª ETAPA_PIPAT_INEP32036540_5228_2024/1;EJA_EP_2024_1_2aETAPA_PIPAT;INEP32036540 / EJA - ENSINO PROFISSIONALIZANTE EM / 2024/1;EJA_EP_PIPAT
EEEFJONESJOSEDONASCIMENTO_8ªN01-EJA-EF_8ª ETAPA_PIPAT_INEP32036167_2193_2024/1;EJA_EF_2024_1_8aETAPA_PIPAT;INEP32036167 / EJA - ENSINO FUNDAMENTAL / 2024/1;EJA_EF_PIPAT
EEEFJONESJOSEDONASCIMENTO_7ªN01-EJA-EF_7ª ETAPA_PIPAT_INEP32036167_1569_2024/1;EJA_EF_2024_1_7aETAPA_PIPAT;INEP32036167 / EJA - ENSINO FUNDAMENTAL / 2024/1;EJA_EF_PIPAT
EEEFJONESJOSEDONASCIMENTO_4ªN01-EJA-EP-AAD_4ª ETAPA_PIPAT_INEP32036167_5221_2024/1;EJA_EP_2024_1_4aETAPA_PIPAT;INEP32036167 / EJA - ENSINO PROFISSIONALIZANTE EM / 2024/1;EJA_EP_PIPAT
EEEFJONESJOSEDONASCIMENTO_3ªN01-EJA-EP-AAD_3ª ETAPA_PIPAT_INEP32036167_3333_2024/1;EJA_EP_2024_1_3aETAPA_PIPAT;INEP32036167 / EJA - ENSINO PROFISSIONALIZANTE EM / 2024/1;EJA_EP_PIPAT
