shortname;nome_backup;nome_categoria;nome_imagem
EEEFMPIOXII_1ªN01-EJA-EM_1ª ETAPA_PIPAT_INEP32018061_3085_2024/1;EJA_EM_2024_1_1aETAPA_PIPAT;INEP32018061 / EJA - ENSINO MÉDIO / 2024/1;EJA_EM_PIPAT
EEEFMNESTORGOMES_3ªN01-EJA-EM_3ª ETAPA_PIPAT_INEP32019459_1887_2024/1;EJA_EM_2024_1_3aETAPA_PIPAT;INEP32019459 / EJA - ENSINO MÉDIO / 2024/1;EJA_EM_PIPAT
EEEFMNESTORGOMES_1ªN01-EM_PV_INEP32019459_2490_2024;erro_restauracao;erro_restauracao;
EEEFMNESTORGOMES_1ªN01-EM_EO_INEP32019459_2490_2024;erro_restauracao;erro_restauracao;
EEEFMCORREGODESANTAMARIA_3ªN01-EJA-EM_3ª ETAPA_PIPAT_INEP32019050_4440_2024/1;EJA_EM_2024_1_3aETAPA_PIPAT;INEP32019050 / EJA - ENSINO MÉDIO / 2024/1;EJA_EM_PIPAT
EEEFMCORREGODESANTAMARIA_2ªN01-EJA-EM_2ª ETAPA_PIPAT_INEP32019050_3965_2024/1;EJA_EM_2024_1_2aETAPA_PIPAT;INEP32019050 / EJA - ENSINO MÉDIO / 2024/1;EJA_EM_PIPAT
EEEFMCORREGODESANTAMARIA_1ªN01-EJA-EM_1ª ETAPA_PIPAT_INEP32019050_3430_2024/1;EJA_EM_2024_1_1aETAPA_PIPAT;INEP32019050 / EJA - ENSINO MÉDIO / 2024/1;EJA_EM_PIPAT
EEEFMAMERICOSILVARES_8ªN01-EJA-EF_8ª ETAPA_PIPAT_INEP32017952_5593_2024/1;EJA_EF_2024_1_8aETAPA_PIPAT;INEP32017952 / EJA - ENSINO FUNDAMENTAL / 2024/1;EJA_EF_PIPAT
EEEFMAMERICOSILVARES_7ªN01-EJA-EF_7ª ETAPA_PIPAT_INEP32017952_5246_2024/1;EJA_EF_2024_1_7aETAPA_PIPAT;INEP32017952 / EJA - ENSINO FUNDAMENTAL / 2024/1;EJA_EF_PIPAT
EEEFMAMERICOSILVARES_4ªN01-EJA-EP-AAD_4ª ETAPA_PIPAT_INEP32017952_3911_2024/1;EJA_EP_2024_1_4aETAPA_PIPAT;erro_categorização;EJA_EP_PIPAT
EEEFMAMERICOSILVARES_3ªN01-EJA-EP-AAD_3ª ETAPA_PIPAT_INEP32017952_3369_2024/1;EJA_EP_2024_1_3aETAPA_PIPAT;erro_categorização;EJA_EP_PIPAT
EEEFMAMERICOSILVARES_2ªN01-EJA-EP-AAD_2ª ETAPA_PIPAT_INEP32017952_2246_2024/1;EJA_EP_2024_1_2aETAPA_PIPAT;erro_categorização;EJA_EP_PIPAT
EEEFMAMERICOSILVARES_1ªN01-EJA-EP-AAD_1ª ETAPA_PIPAT_INEP32017952_1002_2024/1;EJA_EP_2024_1_1aETAPA_PIPAT;;
