shortname;nome_backup;nome_categoria;nome_imagem
EEEFMSILVIOROCIO_4ªN01-EJA-EM-ARH_4ª ETAPA_PIPAT_INEP32039883_2032_2024/1;EJA_EM_2024_1_4aETAPA_PIPAT;INEP32039883 / EJA - ENSINO MÉDIO / 2024/1;EJA_EM_PIPAT
EEEFMAGENORDESOUZALE_1ªN02-EM_PV_INEP32038488_229_2024;EM_2024_1aN_PV;INEP32038488 / ENSINO MÉDIO / 2024;EM_PV
EEEFMAGENORDESOUZALE_1ªN02-EM_EO_INEP32038488_229_2024;EM_2024_1aN_EO;INEP32038488 / ENSINO MÉDIO / 2024;EM_EO
EEEFMAGENORDESOUZALE_1ªN01-EM_PV_INEP32038488_79_2024;EM_2024_1aN_PV;INEP32038488 / ENSINO MÉDIO / 2024;EM_PV
EEEFMAGENORDESOUZALE_1ªN01-EM_EO_INEP32038488_79_2024;EM_2024_1aN_EO;INEP32038488 / ENSINO MÉDIO / 2024;EM_EO
EEEFMPROFESSORAFILOMENAQUITIBA_1ªN01-EM_PV_INEP32044747_6234_2024;EM_2024_1aN_PV;INEP32044747 / ENSINO MÉDIO / 2024;EM_PV
EEEFMPROFESSORAFILOMENAQUITIBA_1ªN01-EM_EO_INEP32044747_6234_2024;EM_2024_1aN_EO;INEP32044747 / ENSINO MÉDIO / 2024;EM_EO
EEEFMZENOBIALEAO_4ªN1EPOUT_4ª ETAPA_PIPAT_INEP32043651_5494_2024/1;EM_2024_4aN_PIPAT;INEP32043651 / ENSINO MÉDIO / 2024;EM_PIPAT
EEEFMZENOBIALEAO_3ªN1EPOUT_3ª ETAPA_PIPAT_INEP32043651_4725_2024/1;EM_2024_3aN_PIPAT;INEP32043651 / ENSINO MÉDIO / 2024;EM_PIPAT
EEEFMZENOBIALEAO_2ªN1EPOUT_2ª ETAPA_PIPAT_INEP32043651_3282_2024/1;EM_2024_2aN_PIPAT;INEP32043651 / ENSINO MÉDIO / 2024;EM_PIPAT
EEEFMZENOBIALEAO_1ªN01-EM_PV_INEP32043651_3776_2024;EM_2024_1aN_PV;INEP32043651 / ENSINO MÉDIO / 2024;EM_PV
EEEFMZENOBIALEAO_1ªN01-EM_EO_INEP32043651_3776_2024;EM_2024_1aN_EO;INEP32043651 / ENSINO MÉDIO / 2024;EM_EO
EEEFMZENOBIALEAO_1ªN1EPOUT_1ª ETAPA_PIPAT_INEP32043651_798_2024/1;EM_2024_1aN_PIPAT;INEP32043651 / ENSINO MÉDIO / 2024;EM_PIPAT
EEEFMMANOELROZINDODASILVA_2ªN01-EJA-AAD_2ª ETAPA_PIPAT_INEP32043554_5180_2024/1;EJA_AA_2024_1_2aETAPA_PIPAT;INEP32043554 / EJA-AA / 2024/1;EJA_AA_PIPAT
EEEFMMANOELROZINDODASILVA_1ªN01-EJA-AAD_1ª ETAPA_PIPAT_INEP32043554_6914_2024/1;EJA_AA_2024_1_1aETAPA_PIPAT;INEP32043554 / EJA-AA / 2024/1;EJA_AA_PIPAT
EEEFMCORONELGOMESDEOLIVEIRA_1ªN01-EM_PV_INEP32042647_7106_2024;EM_2024_1aN_PV;INEP32042647 / ENSINO MÉDIO / 2024;EM_PV
EEEFMCORONELGOMESDEOLIVEIRA_1ªN01-EM_EO_INEP32042647_7106_2024;EM_2024_1aN_EO;INEP32042647 / ENSINO MÉDIO / 2024;EM_EO
EEEFMCAMILAMOTTA_1ªN01-EM_PV_INEP32041756_6874_2024;EM_2024_1aN_PV;INEP32041756 / ENSINO MÉDIO / 2024;EM_PV
EEEFMCAMILAMOTTA_1ªN01-EM_EO_INEP32041756_6874_2024;EM_2024_1aN_EO;INEP32041756 / ENSINO MÉDIO / 2024;EM_EO
EEEMCECILIANOABELDEALMEIDA_1ªN02-EM_PV_INEP32018169_5133_2024;EM_2024_1aN_PV;INEP32018169 / ENSINO MÉDIO / 2024;EM_PV
EEEMCECILIANOABELDEALMEIDA_1ªN02-EM_EO_INEP32018169_5133_2024;EM_2024_1aN_EO;INEP32018169 / ENSINO MÉDIO / 2024;EM_EO
EEEMCECILIANOABELDEALMEIDA_1ªN01-EM_PV_INEP32018169_1450_2024;EM_2024_1aN_PV;INEP32018169 / ENSINO MÉDIO / 2024;EM_PV
EEEMCECILIANOABELDEALMEIDA_1ªN01-EM_EO_INEP32018169_1450_2024;EM_2024_1aN_EO;INEP32018169 / ENSINO MÉDIO / 2024;EM_EO
EEEFMWALLACECASTELLODUTRA_4ªN1EPOUT_4ª ETAPA_PIPAT_INEP32078722_2062_2024/1;EM_2024_4aN_PIPAT;INEP32078722 / ENSINO MÉDIO / 2024;EM_PIPAT
EEEFMWALLACECASTELLODUTRA_3ªN1EPOUT_3ª ETAPA_PIPAT_INEP32078722_3769_2024/1;EM_2024_3aN_PIPAT;INEP32078722 / ENSINO MÉDIO / 2024;EM_PIPAT
