shortname;nome_backup;nome_categoria;nome_imagem
EEEFMTERRAVERMELHA_4ªN03-EJA-EP-AAD_4ª ETAPA_PIPAT_INEP32038461_6942_2024/1;EJA_EP_2024_1_4aETAPA_PIPAT;INEP32038461 / EJA - PROFISSIONALIZANTE EM / 2024/1;EJA_EP_PIPAT
EEEFMTERRAVERMELHA_4ªN02-EJA-EP-AAD_4ª ETAPA_PIPAT_INEP32038461_6932_2024/1;EJA_EP_2024_1_4aETAPA_PIPAT;INEP32038461 / EJA - PROFISSIONALIZANTE EM / 2024/1;EJA_EP_PIPAT
EEEFMTERRAVERMELHA_4ªN01-EJA-EP-AAD_4ª ETAPA_PIPAT_INEP32038461_6919_2024/1;EJA_EP_2024_1_4aETAPA_PIPAT;INEP32038461 / EJA - PROFISSIONALIZANTE EM / 2024/1;EJA_EP_PIPAT
EEEFMTERRAVERMELHA_3ªN02-EJA-EP-AAD_3ª ETAPA_PIPAT_INEP32038461_5480_2024/1;EJA_EP_2024_1_3aETAPA_PIPAT;INEP32038461 / EJA - PROFISSIONALIZANTE EM / 2024/1;EJA_EP_PIPAT
EEEFMTERRAVERMELHA_3ªN01-EJA-EP-AAD_3ª ETAPA_PIPAT_INEP32038461_5185_2024/1;EJA_EP_2024_1_3aETAPA_PIPAT;INEP32038461 / EJA - PROFISSIONALIZANTE EM / 2024/1;EJA_EP_PIPAT
EEEFMTERRAVERMELHA_2ªN02-EJA-EP-AAD_2ª ETAPA_PIPAT_INEP32038461_6789_2024/1;EJA_EP_2024_1_2aETAPA_PIPAT;INEP32038461 / EJA - PROFISSIONALIZANTE EM / 2024/1;EJA_EP_PIPAT
EEEFMTERRAVERMELHA_2ªN01-EJA-EP-AAD_2ª ETAPA_PIPAT_INEP32038461_5788_2024/1;EJA_EP_2024_1_2aETAPA_PIPAT;INEP32038461 / EJA - PROFISSIONALIZANTE EM / 2024/1;EJA_EP_PIPAT
EEEFMTERRAVERMELHA_1ªN03-EJA-EP-AAD_1ª ETAPA_PIPAT_INEP32038461_6904_2024/1;EJA_EP_2024_1_1aETAPA_PIPAT;INEP32038461 / EJA - PROFISSIONALIZANTE EM / 2024/1;EJA_EP_PIPAT
EEEFMTERRAVERMELHA_1ªN02-EJA-EP-AAD_1ª ETAPA_PIPAT_INEP32038461_6887_2024/1;EJA_EP_2024_1_1aETAPA_PIPAT;INEP32038461 / EJA - PROFISSIONALIZANTE EM / 2024/1;EJA_EP_PIPAT
EEEFMTERRAVERMELHA_1ªN01-EJA-EP-AAD_1ª ETAPA_PIPAT_INEP32038461_6871_2024/1;EJA_EP_2024_1_1aETAPA_PIPAT;INEP32038461 / EJA - PROFISSIONALIZANTE EM / 2024/1;EJA_EP_PIPAT
EEEFMSILVIOROCIO_3ªN01-EJA-EM-ARH_3ª ETAPA_PIPAT_INEP32039883_3195_2024/1;EJA_EM_2024_1_3aETAPA_PIPAT;INEP32039883 / EJA - ENSINO MÉDIO / 2024/1;EJA_EM_PIPAT
