shortname;nome_backup;nome_categoria;nome_imagem
EEEMMARIOGURGEL_3ªN01-EJA-EM_3ª ETAPA_PIPAT_INEP32079230_2114_2024/1;EJA_EM_2024_1_3aETAPA_PIPAT;INEP32079230 / EJA - ENSINO MÉDIO / 2024/1;EJA_EM_PIPAT
EEEMMARIOGURGEL_2ªN01-EJA-EM_2ª ETAPA_PIPAT_INEP32079230_1482_2024/1;EJA_EM_2024_1_2aETAPA_PIPAT;INEP32079230 / EJA - ENSINO MÉDIO / 2024/1;EJA_EM_PIPAT
EEEMMARIOGURGEL_2ªM01-EJA-EM_2ª ETAPA_PVI2_INEP32079230_3815_2024/1;EJA_EM_2024_1_2aETAPA_PVI2;INEP32079230 / EJA - ENSINO MÉDIO / 2024/1;EJA_EM_PVI2
EEEMMARIOGURGEL_2ªM01-EJA-EM_2ª ETAPA_PVI1_INEP32079230_3815_2024/1;EJA_EM_2024_1_2aETAPA_PVI1;INEP32079230 / EJA - ENSINO MÉDIO / 2024/1;EJA_EM_PVI1
EEEMMARIOGURGEL_1ªN01-EJA-EM_1ª ETAPA_PIPAT_INEP32079230_841_2024/1;EJA_EM_2024_1_1aETAPA_PIPAT;;
EEEMBENICIOGONCALVES_3ªM01-EJA-EM_3ª ETAPA_PVI1_INEP32039085_5807_2024/1;EJA_EM_2024_1_3aETAPA_PVI1;INEP32039085 / EJA - ENSINO MÉDIO / 2024/1;EJA_EM_PVI1
EEEMBENICIOGONCALVES_2ªN01-EJA-EM_2ª ETAPA_PIPAT_INEP32039085_5808_2024/1;EJA_EM_2024_1_2aETAPA_PIPAT;INEP32039085 / EJA - ENSINO MÉDIO / 2024/1;EJA_EM_PIPAT
EEEMBENICIOGONCALVES_1ªN01-EJA-EM_1ª ETAPA_PIPAT_INEP32039085_7186_2024/1;EJA_EM_2024_1_1aETAPA_PIPAT;INEP32039085 / EJA - ENSINO MÉDIO / 2024/1;EJA_EM_PIPAT
EEEFMTERRAVERMELHA_4ªN03-EJA-EP-AAD_4ª ETAPA_PIPAT_INEP32038461_6942_2024/1;EJA_EP_2024_1_4aETAPA_PIPAT;erro_categorização;EJA_EP_PIPAT
EEEFMTERRAVERMELHA_4ªN02-EJA-EP-AAD_4ª ETAPA_PIPAT_INEP32038461_6932_2024/1;EJA_EP_2024_1_4aETAPA_PIPAT;erro_categorização;EJA_EP_PIPAT
EEEFMTERRAVERMELHA_4ªN01-EJA-EP-AAD_4ª ETAPA_PIPAT_INEP32038461_6919_2024/1;EJA_EP_2024_1_4aETAPA_PIPAT;erro_categorização;EJA_EP_PIPAT
EEEFMTERRAVERMELHA_3ªN02-EJA-EP-AAD_3ª ETAPA_PIPAT_INEP32038461_5480_2024/1;EJA_EP_2024_1_3aETAPA_PIPAT;erro_categorização;EJA_EP_PIPAT
EEEFMTERRAVERMELHA_3ªN01-EJA-EP-AAD_3ª ETAPA_PIPAT_INEP32038461_5185_2024/1;EJA_EP_2024_1_3aETAPA_PIPAT;erro_categorização;EJA_EP_PIPAT
EEEFMTERRAVERMELHA_2ªN02-EJA-EP-AAD_2ª ETAPA_PIPAT_INEP32038461_6789_2024/1;EJA_EP_2024_1_2aETAPA_PIPAT;erro_categorização;EJA_EP_PIPAT
EEEFMTERRAVERMELHA_2ªN01-EJA-EP-AAD_2ª ETAPA_PIPAT_INEP32038461_5788_2024/1;EJA_EP_2024_1_2aETAPA_PIPAT;erro_categorização;EJA_EP_PIPAT
