shortname;nome_backup;nome_categoria;nome_imagem
EEEFMHILDEBRANDOLUCAS_1ªN01EJA-EM_1ª ETAPA_PIPAT_INEP32040300_2950_2024/1;EJA_EM_2024_1_1aETAPA_PIPAT;INEP32040300 / EJA - ENSINO MÉDIO / 2024/1;EJA_EM_PIPAT
EEEFMHILDEBRANDOLUCAS_1ªM01EJA-EM_1ª ETAPA_PVI2_INEP32040300_2948_2024/1;EJA_EM_2024_1_1aETAPA_PVI2;INEP32040300 / EJA - ENSINO MÉDIO / 2024/1;EJA_EM_PVI2
EEEFMHILDEBRANDOLUCAS_1ªM01EJA-EM_1ª ETAPA_PVI1_INEP32040300_2948_2024/1;EJA_EM_2024_1_1aETAPA_PVI1;INEP32040300 / EJA - ENSINO MÉDIO / 2024/1;EJA_EM_PVI1
EEEFMELZALEMOSANDREATTA_3ªN03-EJA-EM_3ª ETAPA_PIPAT_INEP32063199_4467_2024/1;EJA_EM_2024_1_3aETAPA_PIPAT;INEP32063199 / EJA - ENSINO MÉDIO / 2024/1;EJA_EM_PIPAT
EEEFMELZALEMOSANDREATTA_3ªN02-EJA-EM_3ª ETAPA_PIPAT_INEP32063199_3993_2024/1;EJA_EM_2024_1_3aETAPA_PIPAT;INEP32063199 / EJA - ENSINO MÉDIO / 2024/1;EJA_EM_PIPAT
EEEFMELZALEMOSANDREATTA_3ªN01EJA-EM_3ª ETAPA_PIPAT_INEP32063199_3460_2024/1;EJA_EM_2024_1_3aETAPA_PIPAT;INEP32063199 / EJA - ENSINO MÉDIO / 2024/1;EJA_EM_PIPAT
EEEFMELZALEMOSANDREATTA_2ªN02-EJA-EM_2ª ETAPA_PIPAT_INEP32063199_2337_2024/1;EJA_EM_2024_1_2aETAPA_PIPAT;INEP32063199 / EJA - ENSINO MÉDIO / 2024/1;EJA_EM_PIPAT
EEEFMELZALEMOSANDREATTA_2ªN01-EJA-EM_2ª ETAPA_PIPAT_INEP32063199_1717_2024/1;EJA_EM_2024_1_2aETAPA_PIPAT;INEP32063199 / EJA - ENSINO MÉDIO / 2024/1;EJA_EM_PIPAT
EEEFMELZALEMOSANDREATTA_1ªN02-EJA-EM_1ª ETAPA_PIPAT_INEP32063199_1097_2024/1;EJA_EM_2024_1_1aETAPA_PIPAT;INEP32063199 / EJA - ENSINO MÉDIO / 2024/1;EJA_EM_PIPAT
EEEFMELZALEMOSANDREATTA_1ªN01-EJA-EM_1ª ETAPA_PIPAT_INEP32063199_471_2024/1;EJA_EM_2024_1_1aETAPA_PIPAT;INEP32063199 / EJA - ENSINO MÉDIO / 2024/1;EJA_EM_PIPAT
