shortname;nome_backup;nome_categoria;nome_imagem
EEEFMGETULIOPIMENTELLOUREIRO_1ªN02-EJA-EP-ALG_1ª ETAPA_PIPAT_INEP32035403_3495_2024/1;EJA_EP_2024_1_1aETAPA_PIPAT;erro_categorização;EJA_EP_PIPAT
EEEFMGETULIOPIMENTELLOUREIRO_1ªN01-EJA-EP-AAD_1ª ETAPA_PIPAT_INEP32035403_508_2024/1;EJA_EP_2024_1_1aETAPA_PIPAT;erro_categorização;EJA_EP_PIPAT
EEEFMGERMANOANDRELUBE_8ªN01EJA-EF_8ª ETAPA_PIPAT_INEP32037171_1751_2024/1;EJA_EF_2024_1_8aETAPA_PIPAT;INEP32037171 / EJA - ENSINO FUNDAMENTAL / 2024/1;EJA_EF_PIPAT
EEEFMGERMANOANDRELUBE_7ªN01EJA-EF_7ª ETAPA_PIPAT_INEP32037171_1132_2024/1;EJA_EF_2024_1_7aETAPA_PIPAT;INEP32037171 / EJA - ENSINO FUNDAMENTAL / 2024/1;EJA_EF_PIPAT
EEEFMGERMANOANDRELUBE_6ªN01EJA-EF_6ª ETAPA_PIPAT_INEP32037171_505_2024/1;EJA_EF_2024_1_6aETAPA_PIPAT;INEP32037171 / EJA - ENSINO FUNDAMENTAL / 2024/1;EJA_EF_PIPAT
EEEFMFRANCISCONASCIMENTO_8ªN01-EJA-EF_8ª ETAPA_PIPAT_INEP32037163_2927_2024/1;EJA_EF_2024_1_8aETAPA_PIPAT;INEP32037163 / EJA - ENSINO FUNDAMENTAL / 2024/1;EJA_EF_PIPAT
EEEFMFRANCISCONASCIMENTO_7ªN01-EJA-EF_7ª ETAPA_PIPAT_INEP32037163_2358_2024/1;EJA_EF_2024_1_7aETAPA_PIPAT;INEP32037163 / EJA - ENSINO FUNDAMENTAL / 2024/1;EJA_EF_PIPAT
EEEFMFRANCISCONASCIMENTO_6ªN01-EJA-EF_6ª ETAPA_PIPAT_INEP32037163_1740_2024/1;EJA_EF_2024_1_6aETAPA_PIPAT;INEP32037163 / EJA - ENSINO FUNDAMENTAL / 2024/1;EJA_EF_PIPAT
EEEFMFRANCISCONASCIMENTO_5ªN01-EJA-EF_5ª ETAPA_PIPAT_INEP32037163_1120_2024/1;EJA_EF_2024_1_5aETAPA_PIPAT;INEP32037163 / EJA - ENSINO FUNDAMENTAL / 2024/1;EJA_EF_PIPAT
EEEFMFRANCISCONASCIMENTO_3ªN01-EJA-EM_3ª ETAPA_PIPAT_INEP32037163_4482_2024/1;EJA_EM_2024_1_3aETAPA_PIPAT;INEP32037163 / EJA - ENSINO MÉDIO / 2024/1;EJA_EM_PIPAT
EEEFMFRANCISCONASCIMENTO_2ªN01-EJA-EM_2ª ETAPA_PIPAT_INEP32037163_4010_2024/1;EJA_EM_2024_1_2aETAPA_PIPAT;INEP32037163 / EJA - ENSINO MÉDIO / 2024/1;EJA_EM_PIPAT
EEEFMFRANCISCONASCIMENTO_1ªN01-EJA-EM_1ª ETAPA_PIPAT_INEP32037163_3480_2024/1;EJA_EM_2024_1_1aETAPA_PIPAT;INEP32037163 / EJA - ENSINO MÉDIO / 2024/1;EJA_EM_PIPAT
EEEFMELICEBAPTISTAGAUDIO_3ªN01-EJA-EM_3ª ETAPA_PIPAT_INEP32036124_464_2024/1;EJA_EM_2024_1_3aETAPA_PIPAT;INEP32036124 / EJA - ENSINO MÉDIO / 2024/1;EJA_EM_PIPAT
EEEFMELICEBAPTISTAGAUDIO_2ªN01-EJA-EM_2ª ETAPA_PIPAT_INEP32036124_3453_2024/1;EJA_EM_2024_1_2aETAPA_PIPAT;INEP32036124 / EJA - ENSINO MÉDIO / 2024/1;EJA_EM_PIPAT
EEEFMELICEBAPTISTAGAUDIO_1ªN01-EJA-EM_1ª ETAPA_PIPAT_INEP32036124_3988_2024/1;EJA_EM_2024_1_1aETAPA_PIPAT;INEP32036124 / EJA - ENSINO MÉDIO / 2024/1;EJA_EM_PIPAT
EEEFMDJOAOBATISTADAMOTTAEALBUQUERQUE_3ªN01-EJA-EM_3ª ETAPA_PIPAT_INEP32036116_2877_2024/1;EJA_EM_2024_1_3aETAPA_PIPAT;;
