shortname;nome_backup;nome_categoria;nome_imagem
EEEMEMIRDEMACEDOGOMES_1ªN01-EJA-EM_1ª ETAPA_PIPAT_INEP32022360_827_2024/1;EJA_EM_2024_1_1aETAPA_PIPAT;erro_categorização;EJA_EM_PIPAT
EEEFMMERCESGARCIAVIEIRA_3ªN01-EJA-EM-AAD_3ª ETAPA_PIPAT_INEP32058268_1250_2024/1;EJA_EM_2024_1_3aETAPA_PIPAT;erro_categorização;EJA_EM_PIPAT
EEEFMBERNARDOHORTA_4ªN01-EJA-EP-AAD_4ª ETAPA_PIPAT_INEP32048459_6600_2024/1;EJA_EP_2024_1_4aETAPA_PIPAT;INEP32048459 / EJA - PROFISSIONALIZANTE EM / 2024/1;EJA_EP_PIPAT
EEEFMPEDRODEALCANTARAGALVEAS_3ªN01-EJA-EM-AAD_3ª ETAPA_PIPAT_INEP32046634_5402_2024/1;EJA_EM_2024_1_3aETAPA_PIPAT;erro_categorização;EJA_EM_PIPAT
EEEFMPEDRODEALCANTARAGALVEAS_2ªN01-EJA-EM-AAD_2ª ETAPA_PIPAT_INEP32046634_6532_2024/1;EJA_EM_2024_1_2aETAPA_PIPAT;erro_categorização;EJA_EM_PIPAT
EEEFMCANDIDAPOVOA_4ªN01-EJA-EP-CID_4ª ETAPA_PIPAT_INEP32050984_2860_2024/1;EJA_EP_2024_1_4aETAPA_PIPAT;INEP32050984 / EJA - PROFISSIONALIZANTE EM / 2024/1;EJA_EP_PIPAT
EEEFMCANDIDAPOVOA_3ªN01-EJA-EP-CID_3ª ETAPA_PIPAT_INEP32050984_2294_2024/1;EJA_EP_2024_1_3aETAPA_PIPAT;INEP32050984 / EJA - PROFISSIONALIZANTE EM / 2024/1;EJA_EP_PIPAT
EEEFMSIRENAREZENDEFONSECA_4ªN01-EJA-EP-AAD_4ª ETAPA_PIPAT_INEP32046103_3748_2024/1;EJA_EP_2024_1_4aETAPA_PIPAT;INEP32046103 / EJA - PROFISSIONALIZANTE EM / 2024/1;EJA_EP_PIPAT
EEEMIRMADULCELOPESPONTE_3ªN01-EJA-EP-ALG_3ª ETAPA_PIPAT_INEP32065051_5151_2024/1;EJA_EP_2024_1_3aETAPA_PIPAT;INEP32065051 / EJA - PROFISSIONALIZANTE EM / 2024/1;EJA_EP_PIPAT
EEEMIRMADULCELOPESPONTE_2ªV01-EJA-EM_2ª ETAPA_PVI2_INEP32065051_7380_2024/1;EJA_EM_2024_1_2aETAPA_PVI2;erro_categorização;EJA_EM_PVI2
EEEMIRMADULCELOPESPONTE_2ªV01-EJA-EM_2ª ETAPA_PVI1_INEP32065051_7380_2024/1;EJA_EM_2024_1_2aETAPA_PVI1;erro_categorização;EJA_EM_PVI1
EEEMIRMADULCELOPESPONTE_2ªN01-EJA-EP-ALG_2ª ETAPA_PIPAT_INEP32065051_4755_2024/1;EJA_EP_2024_1_2aETAPA_PIPAT;INEP32065051 / EJA - PROFISSIONALIZANTE EM / 2024/1;EJA_EP_PIPAT
EEEMIRMADULCELOPESPONTE_2ªN01-EJA-EM_2ª ETAPA_PIPAT_INEP32065051_7333_2024/1;EJA_EM_2024_1_2aETAPA_PIPAT;erro_categorização;EJA_EM_PIPAT
EEEMIRMADULCELOPESPONTE_2ªM01-EJA-EM_2ª ETAPA_PVI2_INEP32065051_4300_2024/1;EJA_EM_2024_1_2aETAPA_PVI2;erro_categorização;EJA_EM_PVI2
EEEMIRMADULCELOPESPONTE_2ªM01-EJA-EM_2ª ETAPA_PVI1_INEP32065051_4300_2024/1;EJA_EM_2024_1_2aETAPA_PVI1;erro_categorização;EJA_EM_PVI1
EEEMIRMADULCELOPESPONTE_1ªN01-EJA-EM_1ª ETAPA_PIPAT_INEP32065051_4302_2024/1;EJA_EM_2024_1_1aETAPA_PIPAT;erro_categorização;EJA_EM_PIPAT
EEEFMALICEHOLZMEISTER_1ªN01-EJA-EM_1ª ETAPA_PIPAT_INEP32031661_7338_2024/1;EJA_EM_2024_1_1aETAPA_PIPAT;erro_categorização;EJA_EM_PIPAT
EEEFMSATURNINORANGELMAURO_3ªN01-EJA-EM_3ª ETAPA_PIPAT_INEP32033940_7353_2024/1;EJA_EM_2024_1_3aETAPA_PIPAT;erro_categorização;EJA_EM_PIPAT
EEEFMSATURNINORANGELMAURO_2ªN01-EJA-EM_2ª ETAPA_PIPAT_INEP32033940_7352_2024/1;EJA_EM_2024_1_2aETAPA_PIPAT;erro_categorização;EJA_EM_PIPAT
EEEFMSATURNINORANGELMAURO_1ªN01-EJA-EM_1ª ETAPA_PIPAT_INEP32033940_7351_2024/1;EJA_EM_2024_1_1aETAPA_PIPAT;INEP32033940 / EJA - ENSINO MÉDIO / 2024/1;EJA_EM_PIPAT
