shortname;nome_backup;nome_categoria;nome_imagem
EEEFMZENOBIALEAO_3ªN1EPOUT_3ª ETAPA_PIPAT_INEP32043651_4725_2024/1;erro_restauracao;erro_restauracao;
EEEFMZENOBIALEAO_2ªN1EPOUT_2ª ETAPA_PIPAT_INEP32043651_3282_2024/1;erro_restauracao;erro_restauracao;
EEEFMZENOBIALEAO_1ªN01-EM_PV_INEP32043651_3776_2024;EM_2024_1aN_PV;INEP32043651 / ENSINO MÉDIO / 2024;EM_PV
EEEFMZENOBIALEAO_1ªN01-EM_EO_INEP32043651_3776_2024;EM_2024_1aN_EO;INEP32043651 / ENSINO MÉDIO / 2024;EM_EO
EEEFMZENOBIALEAO_1ªN1EPOUT_1ª ETAPA_PIPAT_INEP32043651_798_2024/1;erro_restauracao;erro_restauracao;
EEEFMMANOELROZINDODASILVA_2ªN01-EJA-AAD_2ª ETAPA_PIPAT_INEP32043554_5180_2024/1;erro_restauracao;erro_restauracao;
EEEFMMANOELROZINDODASILVA_1ªN01-EJA-AAD_1ª ETAPA_PIPAT_INEP32043554_6914_2024/1;erro_restauracao;erro_restauracao;
EEEFMCORONELGOMESDEOLIVEIRA_1ªN01-EM_PV_INEP32042647_7106_2024;EM_2024_1aN_PV;INEP32042647 / ENSINO MÉDIO / 2024;EM_PV
EEEFMCORONELGOMESDEOLIVEIRA_1ªN01-EM_EO_INEP32042647_7106_2024;EM_2024_1aN_EO;INEP32042647 / ENSINO MÉDIO / 2024;EM_EO
EEEFMCAMILAMOTTA_1ªN01-EM_PV_INEP32041756_6874_2024;EM_2024_1aN_PV;INEP32041756 / ENSINO MÉDIO / 2024;EM_PV
EEEFMCAMILAMOTTA_1ªN01-EM_EO_INEP32041756_6874_2024;EM_2024_1aN_EO;INEP32041756 / ENSINO MÉDIO / 2024;EM_EO
EEEMCECILIANOABELDEALMEIDA_1ªN02-EM_PV_INEP32018169_5133_2024;EM_2024_1aN_PV;INEP32018169 / ENSINO MÉDIO / 2024;EM_PV
EEEMCECILIANOABELDEALMEIDA_1ªN02-EM_EO_INEP32018169_5133_2024;EM_2024_1aN_EO;INEP32018169 / ENSINO MÉDIO / 2024;EM_EO
EEEMCECILIANOABELDEALMEIDA_1ªN01-EM_PV_INEP32018169_1450_2024;EM_2024_1aN_PV;INEP32018169 / ENSINO MÉDIO / 2024;EM_PV
EEEMCECILIANOABELDEALMEIDA_1ªN01-EM_EO_INEP32018169_1450_2024;EM_2024_1aN_EO;INEP32018169 / ENSINO MÉDIO / 2024;EM_EO
EEEFMWALLACECASTELLODUTRA_4ªN1EPOUT_4ª ETAPA_PIPAT_INEP32078722_2062_2024/1;erro_restauracao;erro_restauracao;
EEEFMWALLACECASTELLODUTRA_3ªN1EPOUT_3ª ETAPA_PIPAT_INEP32078722_3769_2024/1;erro_restauracao;erro_restauracao;
EEEFMWALLACECASTELLODUTRA_2ªN1EPOUT_2ª ETAPA_PIPAT_INEP32078722_4264_2024/1;erro_restauracao;erro_restauracao;
EEEFMWALLACECASTELLODUTRA_1ªN01-EM_PV_INEP32078722_5115_2024;EM_2024_1aN_PV;INEP32078722 / ENSINO MÉDIO / 2024;EM_PV
EEEFMWALLACECASTELLODUTRA_1ªN01-EM_EO_INEP32078722_5115_2024;EM_2024_1aN_EO;INEP32078722 / ENSINO MÉDIO / 2024;EM_EO
EEEFMWALLACECASTELLODUTRA_1ªN1EPOUT_1ª ETAPA_PIPAT_INEP32078722_4718_2024/1;erro_restauracao;erro_restauracao;
EEEFMSANTOANTONIO_4ªN01-EJA-EM-AAD_4ª ETAPA_PIPAT_INEP32018096_4227_2024/1;erro_restauracao;erro_restauracao;
EEEFMNESTORGOMES_1ªN01-EM_PV_INEP32019459_2490_2024;EM_2024_1aN_PV;INEP32019459 / ENSINO MÉDIO / 2024;EM_PV
EEEFMNESTORGOMES_1ªN01-EM_EO_INEP32019459_2490_2024;EM_2024_1aN_EO;INEP32019459 / ENSINO MÉDIO / 2024;EM_EO
EEEFMIRMATEREZAALTOE_1ªN02-EM_PV_INEP32016662_1161_2024;EM_2024_1aN_PV;INEP32016662 / ENSINO MÉDIO / 2024;EM_PV
EEEFMIRMATEREZAALTOE_1ªN02-EM_EO_INEP32016662_1161_2024;EM_2024_1aN_EO;INEP32016662 / ENSINO MÉDIO / 2024;EM_EO
EEEFMIRMATEREZAALTOE_1ªN01-EM_PV_INEP32016662_535_2024;EM_2024_1aN_PV;INEP32016662 / ENSINO MÉDIO / 2024;EM_PV
EEEFMIRMATEREZAALTOE_1ªN01-EM_EO_INEP32016662_535_2024;EM_2024_1aN_EO;INEP32016662 / ENSINO MÉDIO / 2024;EM_EO
EEEMDUNASDEITAUNAS_1ªN01-EM_PV_INEP32078650_2098_2024;EM_2024_1aN_PV;INEP32078650 / ENSINO MÉDIO / 2024;EM_PV
EEEMDUNASDEITAUNAS_1ªN01-EM_EO_INEP32078650_2098_2024;EM_2024_1aN_EO;INEP32078650 / ENSINO MÉDIO / 2024;EM_EO
EEEFMAUGUSTODEOLIVEIRA_1ªN01-EM_PV_INEP32096801_408_2024;EM_2024_1aN_PV;INEP32096801 / ENSINO MÉDIO / 2024;EM_PV
EEEFMAUGUSTODEOLIVEIRA_1ªN01-EM_EO_INEP32096801_408_2024;EM_2024_1aN_EO;INEP32096801 / ENSINO MÉDIO / 2024;EM_EO
EEEFMATILIOVIVACQUA_1ªN01-EM_PV_INEP32008503_1655_2024;EM_2024_1aN_PV;INEP32008503 / ENSINO MÉDIO / 2024;EM_PV
EEEFMATILIOVIVACQUA_1ªN01-EM_EO_INEP32008503_1655_2024;EM_2024_1aN_EO;INEP32008503 / ENSINO MÉDIO / 2024;EM_EO
EEEFMITAMIRA_4ªN01-EJA-EM-AGE_4ª ETAPA_PIPAT_INEP32102011_2966_2024/1;erro_restauracao;erro_restauracao;
EEEFMSAOJOAODOSOBRADO_1ªN01-EM_PV_INEP32015550_745_2024;EM_2024_1aN_PV;INEP32015550 / ENSINO MÉDIO / 2024;EM_PV
EEEFMSAOJOAODOSOBRADO_1ªN01-EM_EO_INEP32015550_745_2024;EM_2024_1aN_EO;INEP32015550 / ENSINO MÉDIO / 2024;EM_EO
