shortname;fullname;category;nome_backup;nome_categoria;imagem_escolhida
automatizacaoPTFE;AUTOMATIZACAO;6622;EM_Erro:Anonãoencontrado_Erro:etapanãoencontrada_Erro:Tipodecurso(ex.:PIPAT)nãoencontrado;INEPErro: Código INEP não encontrado / ENSINO MÉDIO / Erro: Ano não encontrado;EM_Erro:Tipodecurso(ex.:PIPAT)nãoencontrado
EEEFMPROFESSORJOAOANTUNESDASDORES_7ªE8ªMULTIN01-EJA-EF_7ª ETAPA_PIPAT_INEP32035500_7435_2024/1;PROJETO INTEGRADOR DE PESQUISA E ARTICULAÇÃO COM O TERRITÓRIO;6622;EJA_EF_2024_1_7aETAPA_PIPAT;INEP32035500 / EJA - ENSINO FUNDAMENTAL / 2024/1;EJA_EF_PIPAT
EEEFMSAOJOAODOSOBRADO_2ªN01-EM-NAR_PROINPAC_INEP32015550_3181_2024;PROJETO DE INTERVENÇÃO/PESQUISA APLICADA À COMUNIDADE;6622;EM_2024_2aN_PROINPAC;INEP32015550 / ENSINO MÉDIO / 2024;EM_PROINPAC
EEEFMHUNNEYEVERESTPIOVESAN_3ªN02EJA-EM_3ª ETAPA_PIPAT_INEP32035039_7831_2024/1;PROJETO INTEGRADOR DE PESQUISA E ARTICULAÇÃO COM O TERRITÓRIO;6622;EJA_EM_2024_1_3aETAPA_PIPAT;INEP32035039 / EJA - ENSINO MÉDIO / 2024/1;EJA_EM_PIPAT
EEEFMJACARAIPE_2ªN01-EM-ESP_PV_INEP32037180_4050_2024;PROJETO DE VIDA;6622;EM_2024_2aN_PV;INEP32037180 / ENSINO MÉDIO / 2024;EM_PV
EEEMBENICIOGONCALVES_3ªN02-EJA-EM_3ª ETAPA_PIPAT_INEP32039085_7757_2024/1;PROJETO INTEGRADOR DE PESQUISA E ARTICULAÇÃO COM O TERRITÓRIO;6622;EJA_EM_2024_1_3aETAPA_PIPAT;INEP32039085 / EJA - ENSINO MÉDIO / 2024/1;EJA_EM_PIPAT
"ESCOLAESTADUALDEENSINOFUNDAMENTALEMEDIO""MONSENHORELIASTOMASI""_5ªN01-EJA-EF_5ª ETAPA_PIPAT_INEP32055838_1258_2024/1";PROJETO INTEGRADOR DE PESQUISA E ARTICULAÇÃO COM O TERRITÓRIO;6622;EJA_EF_2024_1_5aETAPA_PIPAT;INEP32055838 / EJA - ENSINO FUNDAMENTAL / 2024/1;EJA_EF_PIPAT
EEEFMPROFESSORJOAOANTUNESDASDORES_7ªE8ªMULTIN01-EJA-EF_8ª ETAPA_PIPAT_INEP32035500_7435_2024/1;PROJETO INTEGRADOR DE PESQUISA E ARTICULAÇÃO COM O TERRITÓRIO;6622;EJA_EF_2024_1_8aETAPA_PIPAT;INEP32035500 / EJA - ENSINO FUNDAMENTAL / 2024/1;EJA_EF_PIPAT
EEEFMVILANOVADECOLARES_3ªN01-EJA-EM_3ª ETAPA_PIPAT_INEP32134010_6054_2024/1;PROJETO INTEGRADOR DE PESQUISA E ARTICULAÇÃO COM O TERRITÓRIO;6622;EJA_EM_2024_1_3aETAPA_PIPAT;INEP32134010 / EJA - ENSINO MÉDIO / 2024/1;EJA_EM_PIPAT
EEEFMVILANOVADECOLARES_8ªN01-EJA-EF_8ª ETAPA_PIPAT_INEP32134010_2053_2024/1;PROJETO INTEGRADOR DE PESQUISA E ARTICULAÇÃO COM O TERRITÓRIO;6622;EJA_EF_2024_1_8aETAPA_PIPAT;INEP32134010 / EJA - ENSINO FUNDAMENTAL / 2024/1;EJA_EF_PIPAT
EEEFMJACARAIPE_2ªN01-EM-ESP_PV_INEP32037180_4050_2024;PROJETO DE VIDA;6622;EM_2024_2aN_PV;INEP32037180 / ENSINO MÉDIO / 2024;EM_PV
EEEFMHILDEBRANDOLUCAS_2ªM02EJA-EM_2ª ETAPA_PVI1_INEP32040300_4030_2024/1;PRÁTICAS E VIVÊNCIAS INTEGRADORAS I;6622;EJA_EM_2024_1_2aETAPA_PVI1;INEP32040300 / EJA - ENSINO MÉDIO / 2024/1;EJA_EM_PVI1
EEEFMHILDEBRANDOLUCAS_2ªM02EJA-EM_2ª ETAPA_PVI2_INEP32040300_4030_2024/1;PRÁTICAS E VIVÊNCIAS INTEGRADORAS II;6622;EJA_EM_2024_1_2aETAPA_PVI2;INEP32040300 / EJA - ENSINO MÉDIO / 2024/1;EJA_EM_PVI2
EEEFMELICEBAPTISTAGAUDIO_3ªN02-EJA-EM_3ª ETAPA_PIPAT_INEP32036124_1090_2024/1;PROJETO INTEGRADOR DE PESQUISA E ARTICULAÇÃO COM O TERRITÓRIO;6622;EJA_EM_2024_1_3aETAPA_PIPAT;INEP32036124 / EJA - ENSINO MÉDIO / 2024/1;EJA_EM_PIPAT
