shortname;nome_backup;nome_categoria;nome_imagem
EEUEFVALDIVINOGROONER_5ªA8ªMULTIN01-EJA-EF_7ª ETAPA_PIPAT_INEP32007779_880_2024/1;EJA_EF_2024_1_7aETAPA_PIPAT;erro_categorização;EJA_EF_PIPAT
CEEFMTINAIRMIRANDA_5ªE6ªMULTIN01-EJA-EF_6ª ETAPA_PIPAT_INEP32020910_287_2024/1;EJA_EF_2024_1_6aETAPA_PIPAT;INEP32020910 / EJA - ENSINO FUNDAMENTAL / 2024/1;EJA_EF_PIPAT
EEEFMSATURNINORIBEIRODOSSANTOS_5ªA8ªMULTIN01-EJA-EF_5ª ETAPA_PIPAT_INEP32073712_753_2024/1;EJA_EF_2024_1_5aETAPA_PIPAT;INEP32073712 / EJA - ENSINO FUNDAMENTAL / 2024/1;EJA_EF_PIPAT
EEEFMANTONIOJOSEPEIXOTOMIGUEL_2ªN02-EJA-EM_2ª ETAPA_PIPAT_INEP32074425_102_2024/1;EJA_EM_2024_1_2aETAPA_PIPAT;INEP32074425 / EJA - ENSINO MÉDIO / 2024/1;EJA_EM_PIPAT
EEEFVALDICIOBARBOSADOSSANTOS_5ªA8ªMULTIN01-EJA-EF_5ª ETAPA_PIPAT_INEP32062710_1415_2024/1;EJA_EF_2024_1_5aETAPA_PIPAT;INEP32062710 / EJA - ENSINO FUNDAMENTAL / 2024/1;EJA_EF_PIPAT
EEEFMGOVERNADORLINDENBERG_MULTI7ªE8N01-EJA-EF - 8º_8ª ETAPA_PIPAT_INEP32000979_7863_2024/1;EJA_EF_2024_1_8aETAPA_PIPAT;INEP32000979 / EJA - ENSINO FUNDAMENTAL / 2024/1;EJA_EF_PIPAT
EEEFMZACHEUMOREIRADAFRAGA_1ªN01-EJA-EP-AAD_1ª ETAPA_PIPAT_INEP32053860_2065_2024/1;EJA_EP_2024_1_1aETAPA_PIPAT;INEP32053860 / EJA - PROFISSIONALIZANTE EM / 2024/1;EJA_EP_PIPAT
EEEFCORREGODOCEDRO_5ªA8ªMULTIN01-EJA-EF_5ª ETAPA_PIPAT_INEP32016506_2307_2024/1;EJA_EF_2024_1_5aETAPA_PIPAT;INEP32016506 / EJA - ENSINO FUNDAMENTAL / 2024/1;EJA_EF_PIPAT
EEEFMPAULODAMIAOTRISTAOPURINHA_5ªA8ªMULTIN01-EJA-EF_5ª ETAPA_PIPAT_INEP32102020_1292_2024/1;EJA_EF_2024_1_5aETAPA_PIPAT;INEP32102020 / EJA - ENSINO FUNDAMENTAL / 2024/1;EJA_EF_PIPAT
EEEFMSATURNINORIBEIRODOSSANTOS_5ªA8ªMULTIN01-EJA-EF_8ª ETAPA_PIPAT_INEP32073712_753_2024/1;EJA_EF_2024_1_8aETAPA_PIPAT;INEP32073712 / EJA - ENSINO FUNDAMENTAL / 2024/1;EJA_EF_PIPAT
EEEMCEIATTILADEALMEIDAMIRANDA_2ªV01-EJA-EM_2ª ETAPA_PVI2_INEP32052103_6647_2024/1;EJA_EM_2024_1_2aETAPA_PVI2;INEP32052103 / EJA - ENSINO MÉDIO / 2024/1;EJA_EM_PVI2
EEEMCEIATTILADEALMEIDAMIRANDA_2ªV01-EJA-EM_2ª ETAPA_PVI1_INEP32052103_6647_2024/1;EJA_EM_2024_1_2aETAPA_PVI1;INEP32052103 / EJA - ENSINO MÉDIO / 2024/1;EJA_EM_PVI1
EEEFVALDICIOBARBOSADOSSANTOS_5ªA8ªMULTIN01-EJA-EF_8ª ETAPA_PIPAT_INEP32062710_1415_2024/1;EJA_EF_2024_1_8aETAPA_PIPAT;INEP32062710 / EJA - ENSINO FUNDAMENTAL / 2024/1;EJA_EF_PIPAT
EEEFMPROFHOSANASALLES_7ªE8ªMULTIN01-EJA-EF_7ª ETAPA_PIPAT_INEP32052618_7460_2024/1;EJA_EF_2024_1_7aETAPA_PIPAT;INEP32052618 / EJA - ENSINO FUNDAMENTAL / 2024/1;EJA_EF_PIPAT
EEEFMMARGEMDOITAUNINHAS_5ªA8ªMULTIN01-EJA-EF_8ª ETAPA_PIPAT_INEP32015496_599_2024/1;EJA_EF_2024_1_8aETAPA_PIPAT;INEP32015496 / EJA - ENSINO FUNDAMENTAL / 2024/1;EJA_EF_PIPAT
EEEFMPAULODAMIAOTRISTAOPURINHA_5ªA8ªMULTIN01-EJA-EF_6ª ETAPA_PIPAT_INEP32102020_1292_2024/1;EJA_EF_2024_1_6aETAPA_PIPAT;INEP32102020 / EJA - ENSINO FUNDAMENTAL / 2024/1;EJA_EF_PIPAT
EEEFMIRACEMACONCEICAOSILVA_3ªN01-EJA-EP-AAD_3ª ETAPA_PIPAT_INEP32036574_4940_2024/1;EJA_EP_2024_1_3aETAPA_PIPAT;INEP32036574 / EJA - PROFISSIONALIZANTE EM / 2024/1;EJA_EP_PIPAT
EEEFMCORREGODALAPA_5ªA8ªMULTIN01-EJA-EF_7ª ETAPA_PIPAT_INEP32007981_1062_2024/1;EJA_EF_2024_1_7aETAPA_PIPAT;INEP32007981 / EJA - ENSINO FUNDAMENTAL / 2024/1;EJA_EF_PIPAT
CEEFMTINAIRMIRANDA_5ªE6ªMULTIN01-EJA-EF_5ª ETAPA_PIPAT_INEP32020910_287_2024/1;EJA_EF_2024_1_5aETAPA_PIPAT;INEP32020910 / EJA - ENSINO FUNDAMENTAL / 2024/1;EJA_EF_PIPAT
EEEFMZACHEUMOREIRADAFRAGA_4ªN01-EJA-EP-AAD_4ª ETAPA_PIPAT_INEP32053860_3772_2024/1;EJA_EP_2024_1_4aETAPA_PIPAT;INEP32053860 / EJA - PROFISSIONALIZANTE EM / 2024/1;EJA_EP_PIPAT
EEEFXIIIDESETEMBRO_5ªA8ªMULTIN01-EJA-EF_6ª ETAPA_PIPAT_INEP32016573_1431_2024/1;EJA_EF_2024_1_6aETAPA_PIPAT;INEP32016573 / EJA - ENSINO FUNDAMENTAL / 2024/1;EJA_EF_PIPAT
EEEFMCORREGODALAPA_5ªA8ªMULTIN01-EJA-EF_6ª ETAPA_PIPAT_INEP32007981_1062_2024/1;EJA_EF_2024_1_6aETAPA_PIPAT;INEP32007981 / EJA - ENSINO FUNDAMENTAL / 2024/1;EJA_EF_PIPAT
EEEFMGOVERNADORLINDENBERG_MULTI7ªE8N01-EJA-EF - 7º_7ª ETAPA_PIPAT_INEP32000979_7862_2024/1;EJA_EF_2024_1_7aETAPA_PIPAT;INEP32000979 / EJA - ENSINO FUNDAMENTAL / 2024/1;EJA_EF_PIPAT
EEEFCORREGODOCEDRO_5ªA8ªMULTIN01-EJA-EF_7ª ETAPA_PIPAT_INEP32016506_2307_2024/1;EJA_EF_2024_1_7aETAPA_PIPAT;INEP32016506 / EJA - ENSINO FUNDAMENTAL / 2024/1;EJA_EF_PIPAT
EEEFMMARGEMDOITAUNINHAS_5ªA8ªMULTIN01-EJA-EF_7ª ETAPA_PIPAT_INEP32015496_599_2024/1;EJA_EF_2024_1_7aETAPA_PIPAT;INEP32015496 / EJA - ENSINO FUNDAMENTAL / 2024/1;EJA_EF_PIPAT
EEEFMSAOJOAODOSOBRADO_2ªN02-EM-NAR_PROINPAC_INEP32015550_3726_2024;EM_2024_2aN_PROINPAC;INEP32015550 / ENSINO MÉDIO / 2024;EM_PROINPAC
EEEFMSATURNINORIBEIRODOSSANTOS_5ªA8ªMULTIN01-EJA-EF_7ª ETAPA_PIPAT_INEP32073712_753_2024/1;EJA_EF_2024_1_7aETAPA_PIPAT;INEP32073712 / EJA - ENSINO FUNDAMENTAL / 2024/1;EJA_EF_PIPAT
