shortname;fullname;category
automatizacaoPTFE;AUTOMATIZACAO;6622
EEEFMPROFESSORJOAOANTUNESDASDORES_7ªE8ªMULTIN01-EJA-EF_7ª ETAPA_PIPAT_INEP32035500_7435_2024/1;PROJETO INTEGRADOR DE PESQUISA E ARTICULAÇÃO COM O TERRITÓRIO;6622
EEEFMSAOJOAODOSOBRADO_2ªN01-EM-NAR_PROINPAC_INEP32015550_3181_2024;PROJETO DE INTERVENÇÃO/PESQUISA APLICADA À COMUNIDADE;6622
EEEFMHUNNEYEVERESTPIOVESAN_3ªN02EJA-EM_3ª ETAPA_PIPAT_INEP32035039_7831_2024/1;PROJETO INTEGRADOR DE PESQUISA E ARTICULAÇÃO COM O TERRITÓRIO;6622
EEEFMJACARAIPE_2ªN01-EM-ESP_PV_INEP32037180_4050_2024;PROJETO DE VIDA;6622
EEEMBENICIOGONCALVES_3ªN02-EJA-EM_3ª ETAPA_PIPAT_INEP32039085_7757_2024/1;PROJETO INTEGRADOR DE PESQUISA E ARTICULAÇÃO COM O TERRITÓRIO;6622
"ESCOLAESTADUALDEENSINOFUNDAMENTALEMEDIO""MONSENHORELIASTOMASI""_5ªN01-EJA-EF_5ª ETAPA_PIPAT_INEP32055838_1258_2024/1";PROJETO INTEGRADOR DE PESQUISA E ARTICULAÇÃO COM O TERRITÓRIO;6622
EEEFMPROFESSORJOAOANTUNESDASDORES_7ªE8ªMULTIN01-EJA-EF_8ª ETAPA_PIPAT_INEP32035500_7435_2024/1;PROJETO INTEGRADOR DE PESQUISA E ARTICULAÇÃO COM O TERRITÓRIO;6622
EEEFMVILANOVADECOLARES_3ªN01-EJA-EM_3ª ETAPA_PIPAT_INEP32134010_6054_2024/1;PROJETO INTEGRADOR DE PESQUISA E ARTICULAÇÃO COM O TERRITÓRIO;6622
EEEFMVILANOVADECOLARES_8ªN01-EJA-EF_8ª ETAPA_PIPAT_INEP32134010_2053_2024/1;PROJETO INTEGRADOR DE PESQUISA E ARTICULAÇÃO COM O TERRITÓRIO;6622
EEEFMJACARAIPE_2ªN01-EM-ESP_PV_INEP32037180_4050_2024;PROJETO DE VIDA;6622
EEEFMHILDEBRANDOLUCAS_2ªM02EJA-EM_2ª ETAPA_PVI1_INEP32040300_4030_2024/1;PRÁTICAS E VIVÊNCIAS INTEGRADORAS I;6622
EEEFMHILDEBRANDOLUCAS_2ªM02EJA-EM_2ª ETAPA_PVI2_INEP32040300_4030_2024/1;PRÁTICAS E VIVÊNCIAS INTEGRADORAS II;6622
EEEFMELICEBAPTISTAGAUDIO_3ªN02-EJA-EM_3ª ETAPA_PIPAT_INEP32036124_1090_2024/1;PROJETO INTEGRADOR DE PESQUISA E ARTICULAÇÃO COM O TERRITÓRIO;6622
EEEFMGUILHERMEMILANEZE_2ªN01-EJA-EM_2ª ETAPA_PIPAT_INEP32078170_2380_2024/1;PROJETO INTEGRADOR DE PESQUISA E ARTICULAÇÃO COM O TERRITÓRIO;6622
EEEFMVILANOVADECOLARES_2ªN01-EJA-EM_2ª ETAPA_PIPAT_INEP32134010_4260_2024/1;PROJETO INTEGRADOR DE PESQUISA E ARTICULAÇÃO COM O TERRITÓRIO;6622
EEEFMJACARAIPE_3ªN01-EM-ESP_PROINPAC_INEP32037180_4948_2024;PROJETO DE INTERVENÇÃO/PESQUISA APLICADA À COMUNIDADE;6622
EEEFMLIONSSEBASTIAOPAIVAVIDAURRE_2ªN01-EJA-EM_2ª ETAPA_PIPAT_INEP32052405_3016_2024/1;PROJETO INTEGRADOR DE PESQUISA E ARTICULAÇÃO COM O TERRITÓRIO;6622
EEEFMVILANOVADECOLARES_8ªN01-EJA-EF_8ª ETAPA_PIPAT_INEP32134010_2053_2024/1;PROJETO INTEGRADOR DE PESQUISA E ARTICULAÇÃO COM O TERRITÓRIO;6622
EEEFCORREGODOCEDRO_5ªA8ªMULTIN01-EJA-EF_8ª ETAPA_PIPAT_INEP32016506_2307_2024/1;PROJETO INTEGRADOR DE PESQUISA E ARTICULAÇÃO COM O TERRITÓRIO;6622
EEEMBENICIOGONCALVES_3ªN02-EJA-EM_3ª ETAPA_PIPAT_INEP32039085_7757_2024/1;PROJETO INTEGRADOR DE PESQUISA E ARTICULAÇÃO COM O TERRITÓRIO;6622
EEEFMIRACEMACONCEICAOSILVA_1ªN01-EJA-EP-AAD_1ª ETAPA_PIPAT_INEP32036574_3514_2024/1;PROJETO INTEGRADOR DE PESQUISA E ARTICULAÇÃO COM O TERRITÓRIO;6622
EEEFMSAOJOAODOSOBRADO_3ªN01-EM-NAR_PROINPAC_INEP32015550_2612_2024;PROJETO DE INTERVENÇÃO/PESQUISA APLICADA À COMUNIDADE;6622
EEEMIRMADULCELOPESPONTE_3ªN01-EJA-EM_3ª ETAPA_PIPAT_INEP32065051_7747_2024/1;PROJETO INTEGRADOR DE PESQUISA E ARTICULAÇÃO COM O TERRITÓRIO;6622
EEEFMJACARAIPE_2ªN01-EM-ESP_PV_INEP32037180_4050_2024;PROJETO DE VIDA;6622
EEEFMGOVERNADORLINDENBERG_3ªN01-EJA-EM_3ª ETAPA_PIPAT_INEP32000979_7198_2024/1;PROJETO INTEGRADOR DE PESQUISA E ARTICULAÇÃO COM O TERRITÓRIO;6622
EEEFMQUINTILIANODEAZEVEDO_3ªN02-EJA-EM_3ª ETAPA_PIPAT_INEP32052634_6034_2024/1;PROJETO INTEGRADOR DE PESQUISA E ARTICULAÇÃO COM O TERRITÓRIO;6622
EEEFMWALDEMIROHEMERLY_3ªN01-EM-EFF_PROINPAC_INEP32044950_3218_2024;PROJETO DE INTERVENÇÃO/PESQUISA APLICADA À COMUNIDADE;6622
EEEFMPROFHOSANASALLES_7ªE8ªMULTIN01-EJA-EF_8ª ETAPA_PIPAT_INEP32052618_7460_2024/1;PROJETO INTEGRADOR DE PESQUISA E ARTICULAÇÃO COM O TERRITÓRIO;6622
EEEFMVILANOVADECOLARES_3ªN01-EJA-EM_3ª ETAPA_PIPAT_INEP32134010_6054_2024/1;PROJETO INTEGRADOR DE PESQUISA E ARTICULAÇÃO COM O TERRITÓRIO;6622
EEUEFVALDIVINOGROONER_5ªA8ªMULTIN01-EJA-EF_6ª ETAPA_PIPAT_INEP32007779_880_2024/1;PROJETO INTEGRADOR DE PESQUISA E ARTICULAÇÃO COM O TERRITÓRIO;6622
